,Date,Text,Likes,Retweets
68,2018-06-06 14:05:27,Top 15 Candidates for Oklahoma Governor (Ranked)https://www.thelostogle.com/2018/06/06/top-15-candidates-for-oklahoma-governor-ranked/ …,38,12
69,2018-06-06 02:41:30,Ahead https://twitter.com/griffith_clete/status/1004186534071951360 …,6,1
70,2018-06-03 15:29:38,Vote June 26th SQ788 and Joe Joseph A Maldonado-Passage and let's #fixthisshitpic.twitter.com/dtf8J2RNY9,7,1
71,2018-06-03 15:05:47,"Tulsa Pride Parade
https://www.facebook.com/joejschreibvogel/videos/973719569463513/ … https://www.facebook.com/Josephmaldonadogovernor/posts/2582378651788457 …",1,0
72,2018-06-03 03:09:38,seeing @joe_exotic at tulsa pride was DEFINITELY the best part of my day! #fixthisshitpic.twitter.com/vbHduu3uyA,8,4
73,2018-06-03 15:04:29,"Tulsa Pride Parade
https://www.facebook.com/joejschreibvogel/videos/973719569463513/ …",2,0
74,2018-06-02 02:20:17,"Oklahoma screws any money making again. Before long no one will want to come here.
#fixthisshit #votejoeexotichttp://m.newson6.com/story.aspx?story=38329472&catId=112042 …",8,0
75,2018-06-02 01:26:26,"USDA and the President lifts restrictions on small exhibitors.
This needs to be shared thousands of times.
https://www.facebook.com/joejschreibvogel/videos/973225792846224/ … https://www.facebook.com/permalink.php?story_fbid=2148226968538445&id=580813935279764 …",0,0
76,2018-06-02 01:26:26,"USDA and the President lifts restrictions on small exhibitors.
This needs to be shared thousands of times.
https://www.facebook.com/joejschreibvogel/videos/973225792846224/ … https://www.facebook.com/joeexoiticcountrymusic/posts/1048883775269212 …",0,0
77,2018-06-02 01:26:26,"USDA and the President lifts restrictions on small exhibitors.
This needs to be shared thousands of times.
https://www.facebook.com/joejschreibvogel/videos/973225792846224/ … https://www.facebook.com/permalink.php?story_fbid=1808078609251305&id=506410132751499 …",0,0
78,2018-06-01 23:59:49,Get on board with the New Oklahoma 2018pic.twitter.com/KHZNEfwb8a,52,20
79,2018-06-01 22:58:18,"I will be in the Tulsa Pride parade tomorrow June 2
Come party with me.",7,0
80,2018-06-01 22:06:10,"You NO LONGER have to be USDA if you exhibit 8 animals or less and NOT dangerous.
Go Trump, now lets get me as Governor
https://www.facebook.com/joejschreibvogel/posts/973130942855709 … https://www.facebook.com/permalink.php?story_fbid=2148091698551972&id=580813935279764 …",1,0
81,2018-06-01 22:06:10,"You NO LONGER have to be USDA if you exhibit 8 animals or less and NOT dangerous.
Go Trump, now lets get me as Governor
https://www.facebook.com/joejschreibvogel/posts/973130942855709 … https://www.facebook.com/permalink.php?story_fbid=1807952549263911&id=506410132751499 …",0,0
82,2018-06-01 22:06:09,"You NO LONGER have to be USDA if you exhibit 8 animals or less and NOT dangerous.
Go Trump, now lets get me as Governor
https://www.facebook.com/joejschreibvogel/posts/973130942855709 … https://www.facebook.com/joeexoiticcountrymusic/posts/1048811378609785 …",2,1
83,2018-06-01 02:56:35,"What do big corporations do to communities?
1=move in
2=get all the tax breaks
3= close all small businesses 
4=fire people before retirement 
6= file bankruptcy 
7= move out
8= leave your community as a ghost town.
#fixthisshit #votejoeexoticpic.twitter.com/l5fU50zAmH",25,4
84,2018-06-01 00:23:40,"Team USZA just pulled out for a 47 hour round trip rescue of 14 animals, Stay tuned as Just how Walmart may be the cause of why many more animals may have to be Euthanized. (Details and live video coming... https://www.facebook.com/Josephmaldonadogovernor/posts/2578151788877810 …",2,0
85,2018-05-31 18:15:49,"#fixthisshit
The Oklahoma Press Association Gubernatorial Candidate Forum is two weeks away!  We will plan to begin at 1:45 p.m. in the South Event Center at the Grand Casino Hotel & Resort in Shawnee,  with approximately 75 Oklahoma newspaper publishers and editors.",9,1
86,2018-05-31 16:15:46,"Would you boycott Walmart if you found out they were the cause of 60 tigers starving to death?
https://www.facebook.com/joejschreibvogel/posts/972510382917765 … https://www.facebook.com/permalink.php?story_fbid=1806725142719985&id=506410132751499 …",1,0
87,2018-05-31 16:15:46,"Would you boycott Walmart if you found out they were the cause of 60 tigers starving to death?
https://www.facebook.com/joejschreibvogel/posts/972510382917765 … https://www.facebook.com/permalink.php?story_fbid=2146596845368124&id=580813935279764 …",1,0
88,2018-05-31 16:15:45,"Would you boycott Walmart if you found out they were the cause of 60 tigers starving to death?
https://www.facebook.com/joejschreibvogel/posts/972510382917765 … https://www.facebook.com/joeexoiticcountrymusic/posts/1048064892017767 …",2,0
89,2018-05-31 16:06:16,Would you boycott Walmart if you found out they were the cause of the DEATH of 60 Tigers?,5,3
90,2018-05-30 19:48:52,If you want to change Oklahoma you must get out in 4 weeks and vote for that change let's #fixthisshit together for a change,12,0
91,2018-05-30 19:11:08,"Any volunteers from Wynnewood,  sulphur or davis want to go ride with me to the Tulsa Pride parade this Saturday?
Private message me if so. Need 6 people",5,0
92,2018-05-30 18:35:50,"One question they asked last night was what was my opinion of the pipeline to education and jobs.
=answer. We need a plumber because this States pipeline is plugged up.",22,5
93,2018-05-30 16:01:27,"Why would they want you to vote NO on SQ788?
1- Pharmaceutical companies make money on Opiates
2- Politicians make money from Pharmaceutical companies  
3- County, City Law Enforcement, District attorneys pay their bills by arresting you for weed
4- Vote yes SQ788 and end their $",66,33
94,2018-05-30 02:59:28,"Tonight's debate 
https://m.facebook.com/story.php?story_fbid=10156557118108969&id=131443908968 …",1,0
95,2018-05-30 01:34:37,#voteforjoehttps://twitter.com/joe_exotic/status/1001636082780340224 …,6,1
96,2018-05-30 01:27:06,"Tonight's debate in Enid Oklahoma went well.
I was pleased how many older folks came up and thanked me for saying what they are thinking. 
Truth matters to people now days.
I am pretty sure we got this.pic.twitter.com/hBSr5qGjxl",43,4
97,2018-05-29 02:13:49,"Flush out the current Oklahoma politics. 
#fixthisshit #votejoeexoticpic.twitter.com/4CfyG0WjHP",41,7
98,2018-05-29 00:58:56,We can learn in Oklahoma how to love and respect each other just like animals do when you are truthful to them and no bullshit. #fixthisshit and lets make Oklahoma awesome againpic.twitter.com/xxTvQ7J73V,14,0
99,2018-05-29 00:02:54,Looks like low hanging fruit for sure.,2,1
100,2018-05-28 22:03:01,Weather donghttps://twitter.com/joe_exotic/status/1001221368032186370 …,27,4
101,2018-05-28 21:59:10,"So channel 4 in OKC says we have a 10% chance of low hanging tornadoes today. What do you think. Lol
You needed a laugh thanks kfor.pic.twitter.com/UXkHr3Jdu3",88,15
102,2018-05-27 22:41:06,Are you going to vote June 26th for SQ788 and Joe Exotic or are you going to allow them to run your lives another 4 years and raise your taxes?,22,6
103,2018-05-27 21:28:58,"You all have an awesome Holiday Weekend, Party with the dogs and drive safe.
I need all of you to stay alive",14,1
104,2018-05-27 18:20:57,"If you think this election was a joke or don't think I have your back?
Watch this last debate and see how I call them out.
#fixthisshit #votejoeexotic
https://www.facebook.com/joejschreibvogel/videos/970499053118898/ … https://www.facebook.com/permalink.php?story_fbid=1803035489755617&id=506410132751499 …",2,0
105,2018-05-27 18:20:56,"If you think this election was a joke or don't think I have your back?
Watch this last debate and see how I call them out.
#fixthisshit #votejoeexotic
https://www.facebook.com/joejschreibvogel/videos/970499053118898/ … https://www.facebook.com/permalink.php?story_fbid=2141911939169948&id=580813935279764 …",1,0
106,2018-05-27 18:20:56,"If you think this election was a joke or don't think I have your back?
Watch this last debate and see how I call them out.
#fixthisshit #votejoeexotic
https://www.facebook.com/joejschreibvogel/videos/970499053118898/ … https://www.facebook.com/joeexoiticcountrymusic/posts/1045883288902594 …",4,0
107,2018-05-27 18:20:03,"If you think this election was a joke or don't think I have your back?
Watch this last debate and see how I call them out.
#fixthisshit #votejoeexotic
https://www.facebook.com/joejschreibvogel/videos/970499053118898/ …",1,0
108,2018-05-27 01:28:40,Go watch this and see just how I stick up for you the people. Go to 1hr and 21 minutes into it.https://www.youtube.com/watch?v=8lu5a9GLyc0 …,7,1
109,2018-05-26 23:35:07,Oklahoma. While you are traveling this weekend stop by the zoo at exit 64 and I-35 and pick up your yard signs and visit me and the tigerspic.twitter.com/aGK9rXXuuP,78,12
110,2018-05-26 15:46:44,Age between two adult people in love is just numbers. Time to live and let live. I promise if I win this election your going to have more freedom then ever before,3,2
111,2018-05-26 13:54:00,"Medical Marijuana and how Politicians lie about it to get you to vote no.
But we want you to vote YES
https://www.facebook.com/joejschreibvogel/videos/969057689929701/ … https://www.facebook.com/permalink.php?story_fbid=2140341575993651&id=580813935279764 …",3,1
112,2018-05-26 03:07:08,"Don't forget you can show this tweet and get 50% off the tours to play with the baby tigers this weekend. 
I 35 and exit 64",34,4
113,2018-05-25 21:30:32,"Another school shooting today.
It's a fad now not a problem. 
Get it off the news so the fad dies off.",37,4
114,2018-05-25 02:34:29,"I have the feeling it’s a domestic situation that got out of hand. Assailant reportedly had eye/ear protection, victims targeted? Definitely toxic masculinity at play. Hope the victims pull through.",3,1
115,2018-05-25 02:07:20,"Shooting in OKC.
The only one dead is the shooter thanks to.
1= good people carry guns also.
2= restaurants that are not gun free zones. 
=Lives saved tonight",582,135
116,2018-05-25 00:35:15,This FUCKTARD thinks I have to sign a contract? Fuck him. I will not sign something so stupid to be in any private club. I am smart enough to know we can lower taxes but who the hell is going to fix shit if there were no taxes? They want no taxes at all until they need help/food.pic.twitter.com/4sIx8T64Iw,17,5
117,2018-05-25 00:25:51,"They lied out their asses last night at the forum in Claremore Oklahoma
https://www.facebook.com/joejschreibvogel/videos/969057689929701/ … https://www.facebook.com/Josephmaldonadogovernor/posts/2567224866637169 …",1,0
118,2018-05-25 00:25:11,"They lied out their asses last night at the forum in Claremore Oklahoma
https://www.facebook.com/joejschreibvogel/videos/969057689929701/ …",0,0
119,2018-05-24 14:40:04,Saddens me to see the public lied to so bad for a personal agendahttps://twitter.com/RealScottyTalk/status/999481596569939968 …,2,0
120,2018-05-24 01:39:35,"90% of your governor candidates lied their asses off to the crowd tonight about SQ788 to keep them from voting yes.
#fixthisshit #votejoeexoticpic.twitter.com/YxNU12mZVr",36,9
121,2018-05-23 21:49:29,"Really Facebook?
Advertising meth pipes?
You must love Mark Zuckerberg will make a buck any how he can.pic.twitter.com/TS3qRVFJLY",25,2
122,2018-05-23 18:30:42,"Supporters from Washington DC caught me at loves on my way to Claremore for
 this debatepic.twitter.com/qdDbfNkykq",17,0
123,2018-05-23 18:19:38,Best damn water you’ll ever taste. @griffith_clete want to know what this water will taste like? #winninghttps://twitter.com/joe_exotic/status/999346612160823296 …,4,1
124,2018-05-23 17:49:33,Smoke a Joe and chase it with some Joe spring waterpic.twitter.com/eMEfMQzsC1,196,67
125,2018-05-23 16:12:44,I will be in Claremore Oklahoma tonight at 6pm at the Robson Performing Art Center. Come listen to the debate and get your free signs and stuff.,6,0
126,2018-05-22 23:30:10,I can be calm and professional. On June 26th 2018 it will be your choice if you want them in your life or more decisions made by you the people? So vote yes on SQ788 and Joe Exotic and let's make Oklahoma... https://www.facebook.com/Josephmaldonadogovernor/posts/2564013016958354 …,9,1
127,2018-05-22 19:55:43,Thank youhttps://twitter.com/NikolaiDenmark/status/999014844949987328 …,2,0
128,2018-05-22 19:18:59,The new Government of Oklahomapic.twitter.com/nKHnURbOLP,6,0
129,2018-05-22 02:46:19,"Oklahoma has this, what you got?https://twitter.com/joe_exotic/status/998715052000768000 …",43,10
130,2018-05-21 23:59:58,Hell ya. Welcome to the 2018 electionpic.twitter.com/eh5sxX4c8u,180,52
131,2018-05-21 22:24:44,"We need to raise $1700.00 more before May 28th so we can have marketing material for the Tulsa Parade and OKC Parade, spare 5.00 go to http://www.joeexoticforgovernor.com  and retweet please.",8,8
132,2018-05-21 22:19:56,"Raised $250.00 on the last request but need to raise $1700.00 more before the Tulsa Parade June 2nd so we can get marketing material out to over 10 thousand voters.
Very important we win the Primaries and SQ788 so we can take this to the... http://www.joeexoticforgovernor.com/ ",0,2
133,2018-05-21 00:27:32,"Memorial Day Weekend come take a tour and show this tweet for 50% off the whole day. Play with the baby tigers, camels, lemurs etc.pic.twitter.com/xWcaP1puSt",50,12
134,2018-05-20 21:58:21,"The rest of America would like to demand why the courts are fucking crooked too?
Any answers there Mr. PRES?https://twitter.com/realDonaldTrump/status/998256454590193665 …",9,1
135,2018-05-20 21:28:02,"I will be in Claremore Oklahoma Wednesday 6pm if you want to come here the forum and pick up your yard signs and free stuff.
Robson Performing Arts Center
101 E. Stuart Roosa, Claremore, Oklahoma 74017
https://www.facebook.com/events/189109348361857/ …",0,0
136,2018-05-20 02:32:20,Vote yes SQ788 Oklahoma June 26,22,8
137,2018-05-19 15:38:50,"$10.00 to $15.00 hour on most fast food help wanted signs. Still cant find help.
Vote Joe Exotic #fixthisshit 
Tweakers and non workers",3,1
138,2018-05-19 03:27:04,"Prayers to families all over who lost loved ones today.
Trust me I know the pain.",22,1
139,2018-05-18 21:40:05,We should be able to finish the Primaries for this election with aprox $2000.00 for marketing things. The 2 biggest Parades in Oklahoma are just around the corner and we need to make it count. Please help donate anything you can.... http://www.joeexoticforgovernor.com/ ,1,0
140,2018-05-18 21:38:34,"We should be able to finish the Primaries for this election with aprox $2000.00 for marketing things. The 2 biggest Parades in Oklahoma are just around the corner and we need to make it count. Please help donate anything you can.
http://www.joeexoticforgovernor.com/ ",0,0
141,2018-05-18 19:32:12,It is sad our society has made it that our children are now our terrorists,13,1
142,2018-05-18 03:15:35,"So some of the Rex supporters are crying he is behind.
I say we make them bawl. We got enough followers to bust this shit. Go votehttps://strawpoll.com/zwc67x54 ",4,1
143,2018-05-18 00:11:27,What's up with Instagram people troll your pictures but has their account locked?,8,1
144,2018-05-17 18:59:02,"This morning,  now a great Grandpa to 4 new kids.pic.twitter.com/uvdbvSe3dJ",118,7
145,2018-05-17 17:34:04,"Oklahoma tax commission is so out of touch, they just sent me a renewal registration on a boat I sold 11 years ago. #fixthisshit",10,2
146,2018-05-16 21:36:25,So everyone can read the names of all the losers before picking Joe. #voteforjoe2018,1,1
147,2018-05-16 20:59:41,I am now a Grandpa. Let's take these to the Mansion Vote Joe Exoticpic.twitter.com/78L80ymubK,170,21
148,2018-05-16 18:10:04,"Do you realize we loose 3 acres of farm
Land every minute to building houses and roads to over population 
http://freerangereport.com/index.php/2018/05/16/u-s-farmland-vanishing-at-rate-of-3-acres-every-minute/ …",0,0
149,2018-05-16 15:37:58,Now we know why they like putting people in prison for non-violent crimes.http://www.tulsaworld.com/news/crimewatch/tulsa-county-jail-commissary-nets-k-in-six-months-with/article_b9428eaa-0fc4-5674-ab54-c33997661c87.html …,4,3
150,2018-05-15 23:45:07,This guy is an ass. He is mad his Husband got kicked out of the University of Tulsa. However I believe in the right to die when your quality of life is gone just like Oregon. I know I do not want to be a veggie in a nursing home https://twitter.com/real_M_Williams/status/996522251104202753 …,5,0
151,2018-05-15 19:03:43,50 people go out this to rest please. Vote exotichttps://strawpoll.com/zwc67x54 ,0,1
152,2018-05-15 18:29:44,Amazing we can travel to the moon but can't watch satellite TV in the rain.,76,23
153,2018-05-15 07:53:29,Joe go on Chapo,3,1
154,2018-05-15 14:50:47,Here is the sample ballot for June 26. #fixthisshit vote Joe Exoticpic.twitter.com/0UZM31P0LX,15,6
155,2018-05-15 14:27:42,"All of you people that got rolling papers and shirts, go vote and lets win this horse race.https://strawpoll.com/zwc67x54 ",3,3
156,2018-05-15 13:53:45,You can vote again today. https://twitter.com/griffith_clete/status/996374053828034560 …,3,1
157,2018-05-15 02:14:04,"When you hate your job.
Remember there is someone out there that has to blur out private parts on Naked and Afraid. 
That must suck .lol",184,36
158,2018-05-15 00:49:48,I have fun with anyonepic.twitter.com/v6apvzEFSG,13,1
159,2018-05-15 00:21:32,"Go read this and tell me its not the truth
https://www.facebook.com/joejschreibvogel/posts/964083583760445 …",0,0
160,2018-05-14 23:22:44,"Get everyone to vote 
https://strawpoll.com/zwc67x54  https://twitter.com/griffith_clete/status/996164130997460992 …",3,0
161,2018-05-14 22:29:14,"Now you need a governor that supports this. ME
https://www.thedenverchannel.com/newsy/us-supreme-court-strikes-down-federal-sports-gambling-law …",2,1
162,2018-05-14 21:12:39,Shit guys you sure as hell are not going to let a bunch of tight ass politicians beat us in an online poll are you? Go Vote and lets take Oklahoma by stormhttps://strawpoll.com/zwc67x54 ,3,3
163,2018-05-14 17:35:41,#winning,1,1
164,2018-05-14 16:40:37,Last poll before election. Let's #fixthisshit and show them we are sick of the way they run politicshttps://strawpoll.com/zwc67x54 ,3,2
165,2018-05-14 16:22:06,Last poll before election. Let's #fixthisshit and show them how this election is going to happen. Go Votehttps://strawpoll.com/zwc67x54 ,1,0
166,2018-05-14 02:35:16,pic.twitter.com/Bz6F1nmk7o,20,11
167,2018-05-13 12:33:51,Happy mother's day to you all moms. May your day be blessed,25,0
168,2018-05-12 16:58:19,When a candidate uses the most honest hashtag possiblehttps://twitter.com/joe_exotic/status/995156167080009728 …,8,3
169,2018-05-12 15:10:35,"My take on Gov Fallins veto on Constitutional Carry 
https://www.facebook.com/joejschreibvogel/videos/962894250546045/ …",2,0
170,2018-05-12 13:31:39,Here is a list of money people that have more power and say then you do about your own constitutional rights. Now I'm interested in how you feel.http://newsok.com/article/5593818/gop-candidates-for-governor-support-gun-bill-while-broad-coalition-urges-veto …,2,0
171,2018-05-12 04:18:13,#fixthisshitpic.twitter.com/kt0emeOHXe,25,10
172,2018-05-12 01:10:46,"This right here shows you that you need a governor that votes for the people not themselves #fixthisshit #votejoeexotic
http://www.koco.com/article/governor-may-fallin-vetoes-senate-bill-1212/20667918 …",4,0
173,2018-05-11 23:23:33,Not for the GOP.,1,1
174,2018-05-11 23:08:33,Here is an awesome interview to show you why you should vote for me.http://www.kswo.com/story/38154097/gubernatorial-race-meet-joe-exotic-maldonado …,11,6
175,2018-05-11 19:07:12,EVERYONE go find you somewhere that has the petition for SQ797 to fully legalize marijuana and SQ796 to put medical marijuana in the constitution so the politicians cant change it Lets #fixthisshit,42,9
176,2018-05-10 19:20:34,So are we all voting June 26 to #fixthisshit and yes SQ788?,38,6
177,2018-05-10 00:32:47,"Thank God Oklahoma is in the middle of the U.S. When the missiles start flying we got the best chance. Then we can expand when the dust settles.
(Just a joke, CNN is way to fucking up tight over all of this Nuclear shit with POTUS)",21,0
178,2018-05-09 01:33:29,"The power of turning a beast into a lover.
If my tigers can love like this just think of what I can teach Oklahoma.  #fixthisshitpic.twitter.com/2YsEWWtrxF",46,6
179,2018-05-09 00:09:48,"Oklahoma is a Stand Your Own Ground State. But do you trust the DA, Judge and system to find you innocent if you stand your own ground and protect yourself. I sure as fuck don't #fixthisshithttp://kfor.com/2018/05/07/fallin-signs-bill-to-add-churches-to-stand-your-ground-law/ …",4,2
180,2018-05-08 23:56:48,"We are on the home stretch of this Election to June 26th and got some marketing to do.
$5.00 or $10.00 is worth having a voice and saving your rights
Please donate at http://www.joeexoticforgovernor.com pic.twitter.com/9Vcn4mYbsO",4,1
181,2018-05-05 22:33:48,"Registered Oklahoma Libertarians, vote for @joe_exotic on June 26th. #fixthisshit",3,1
182,2018-05-08 21:30:40,The way I read this is fuck the elderly and disabled and give a bonus to breed more people. OMG #fixthisshithttp://kfor.com/2018/05/08/new-medicaid-work-requirement-bill-criticized-as-cruel/ …,3,0
183,2018-05-08 19:08:20,"Who the hell needs taxpayer security when you have this walking next to you?
(One of my Tigers Paw)pic.twitter.com/JoYVzgBPHt",42,2
